ranking,title,singer,album
90,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
92,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
93,A bientot,임영웅,IM HERO
94,Ready For Love,BLACKPINK,BORN PINK
95,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun'
96,손이 참 곱던 그대,임영웅,IM HERO
97,인생찬가,임영웅,IM HERO
98,사랑해 진짜,임영웅,IM HERO
99,가을밤에 든 생각,잔나비,잔나비 소곡집 l
100,팡파레,다비치,Season Note
