,title,price,score
0,올리버쌤의 미국식 아이 영어 습관 365,"19,800",
1,트렌드 코리아 2023,"17,100",10
2,불편한 편의점(40만부 기념 벚꽃 에디션),"12,600",9.7
3,마흔에 읽는 니체,"14,400",10
4,역행자,"15,750",9.6
5,50에 시작해도 늦지 않는 부동산 투자,"17,820",9.8
6,세상에서 가장 쉬운 본질육아,"16,920",10
7,하얼빈,"14,400",10
8,사업을 한다는 것,"14,400",9.7
9,단순한 열정,"9,000",9.1
10,불편한 편의점 2,"12,600",9.5
11,당신은 사업가입니까,"13,500",9.3
12,아버지의 해방일지,"13,500",9.9
13,파친코 2,"14,220",10
14,잘될 수밖에 없는 너에게,"14,400",9.5
