ranking,title,singer,album,like
50,strawberry moon,아이유,strawberry moon,"210,329"
51,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),"205,723"
52,Talk that Talk,TWICE (트와이스),BETWEEN 1&2,"36,008"
53,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,"141,506"
54,다시 만날 수 있을까,임영웅,IM HERO,"62,168"
55,주저하는 연인들을 위해,잔나비,전설,"345,368"
56,드라마,아이유,조각집,"163,251"
57,INVU,태연 (TAEYEON),INVU - The 3rd Album,"128,206"
58,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"201,852"
59,DICE,NMIXX,ENTWURF,"33,546"
60,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),"92,117"
61,Dynamite,방탄소년단,Dynamite (DayTime Version),"441,504"
62,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),"28,406"
63,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),"40,387"
64,GANADARA (Feat. 아이유),박재범,GANADARA,"124,914"
65,Next Level,aespa,Next Level,"252,713"
66,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE,"50,370"
67,Off My Face,Justin Bieber,Justice (The Complete Edition),"141,084"
68,아무래도 난,주시크 (Joosiq),아무래도 난,"76,884"
69,너를 생각해,주시크 (Joosiq),너를 생각해,"141,130"
70,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,"160,338"
71,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,"84,591"
72,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),"132,789"
73,Weekend,태연 (TAEYEON),Weekend,"186,192"
74,MY BAG,(여자)아이들,I NEVER DIE,"77,493"
75,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),"37,801"
76,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,"214,398"
77,Butter,방탄소년단,Butter,"278,086"
78,무지개,임영웅,IM HERO,"51,281"
79,Celebrity,아이유,IU 5th Album 'LILAC',"326,181"
80,잠수이별 (Prod. 코드 쿤스트),우원재,잠수이별,"34,701"
81,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,"196,837"
82,고백하는 취한밤에 (Prod. 2soo),임재현,고백하는 취한밤에,"32,986"
83,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,"182,237"
84,봄날,방탄소년단,YOU NEVER WALK ALONE,"551,223"
85,Permission to Dance,방탄소년단,Butter / Permission to Dance,"213,491"
86,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',"52,142"
87,Yet To Come,방탄소년단,Proof,"115,704"
88,아버지,임영웅,IM HERO,"43,660"
89,질주 (2 Baddies),NCT 127,질주 (2 Baddies) - The 4th Album,"47,321"
90,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,"62,947"
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"392,355"
92,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,"185,269"
93,A bientot,임영웅,IM HERO,"42,098"
94,Ready For Love,BLACKPINK,BORN PINK,"31,175"
95,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun',"93,751"
96,손이 참 곱던 그대,임영웅,IM HERO,"41,005"
97,인생찬가,임영웅,IM HERO,"41,209"
98,사랑해 진짜,임영웅,IM HERO,"41,712"
99,가을밤에 든 생각,잔나비,잔나비 소곡집 l,"109,296"
100,팡파레,다비치,Season Note,"37,532"
